Year;Race;Sex;Age 0 to 2;Age 3 to 4;Age 5;Age 6 to 9;Age 10 to 13;Age 14;Age 15;Age 16 to 17;Age 18 to 19;Age 20 to 24;Age 25 to 34;Age 35 to 44;Age 45 to 54;Age 55 to 59;Age 60 to 64;Age 65 to 74;Age 75 to 84;Age 85 to 99;Age 100;Total;medage;Age 0 to 17;Age 18 to 24;Age 25 to 44;Age 45 to 64;Age 65 Plus;Estimate/Projection;Vintage
2037;White;male;126860;84115;42275;171793;179714;46556;46300;91173;101655;274483;550057;552455;536789;242935;228643;466264;311343;98705;749;4152864;41.66673291;788786;376138;1102512;1008367;877061;Projection;2024
2049;American Indian / Alaska Native;female;2655;1840;967;4230;4958;1349;1372;2819;2910;7270;16549;22233;20713;10225;9126;15654;10229;6410;1064;142573;45.92925555;20190;10180;38782;40064;33357;Projection;2024
2049;Black;female;47345;31546;15832;63785;64975;16499;16616;33589;38743;93761;186348;199477;181521;97788;83288;137333;101121;48009;1009;1458585;41.0591919;290187;132504;385825;362597;287472;Projection;2024
2058;Black;male;50954;33723;16869;67812;69749;17860;18018;36744;40674;100880;187931;183996;180795;80104;74096;116655;58676;22653;489;1358678;37.1200987;311729;141554;371927;334995;198473;Projection;2024
2030;American Indian / Alaska Native;male;2547;1692;867;3909;4634;1301;1316;2697;2802;9414;16928;16459;14978;7121;6240;9753;5105;1510;68;109341;38.85063805;18963;12216;33387;28339;16436;Projection;2024
2031;American Indian / Alaska Native;female;2457;1627;828;3648;4334;1199;1253;2634;2741;8422;15375;16910;15136;6723;5829;9363;5680;1761;156;106076;40.09328783;17980;11163;32285;27688;16960;Projection;2024
2034;Asian;male;7827;5033;2496;10159;10492;2889;2962;6380;7014;17660;38254;41242;45133;19942;17032;22542;11764;4672;157;273650;41.53564728;48238;24674;79496;82107;39135;Projection;2024
2035;White;female;118234;78246;39223;159007;164927;41254;41055;85065;100041;245184;515335;535025;552325;253895;258232;520256;385128;149742;1899;4244073;44.99020997;727011;345225;1050360;1064452;1057025;Projection;2024
2052;White;female;127317;85305;43159;177586;187089;48110;48258;97039;108722;263468;527889;618724;628576;303854;312331;569284;414651;220804;4979;4787145;45.91873322;813863;372190;1146613;1244761;1209718;Projection;2024
2054;Asian;male;10074;6707;3378;13841;14721;3838;3891;7893;8413;21515;46009;56500;61055;27433;27574;49419;34076;16795;1483;414615;46.69463516;64343;29928;102509;116062;101773;Projection;2024
2055;Asian;female;9765;6503;3281;13554;14645;3850;3907;7952;8502;21403;47283;61850;68248;31153;31799;60724;42762;24234;2676;464091;49.3200722;63457;29905;109133;131200;130396;Projection;2024
2056;American Indian / Alaska Native;female;2736;1890;985;4307;5080;1394;1424;2980;3115;7943;17176;21300;24516;10587;10503;18128;12788;8380;2029;157261;48.32237842;20796;11058;38476;45606;41325;Projection;2024
