fips,unemp
17087,2.4
17089,5.0
17091,5.1
17093,3.6
17095,4.5
17097,5.1
17099,5.7
17101,7.9
17103,3.6
17105,3.6
17107,4.4
17109,8.6
17111,4.7
17113,3.0
17115,7.1
17117,4.4
17119,4.7
17121,6.4
17123,4.7
17125,6.1
17127,3.4
17129,3.9
17131,3.1
17133,2.1
17135,5.8
17137,5.6
17139,2.6
17141,5.4
17143,6.5
17145,5.1
17147,3.3
17149,4.6
17151,3.0
17153,2.4
17155,3.4
17157,5.1
17159,4.2
17161,5.7
17163,5.7
17165,5.9
17167,5.5
17169,6.2
17171,2.6
17173,3.0
17175,3.1
17177,4.7
17179,3.9
17181,5.2
17183,6.3
17185,4.4
17187,5.2
17189,4.1
17191,3.3
17193,4.0
17195,4.6
17197,4.8
17199,4.3
17201,7.2
17203,3.0
18001,2.7
18003,4.6
18005,3.7
18007,3.6
18009,5.5
18011,3.0
18013,3.2
18015,2.9
18017,3.4
18019,3.8
18021,3.9
18023,3.1
18025,2.6
18027,1.7
18029,2.3
18031,2.6
18033,4.1
18035,6.2
18037,2.1
18039,3.4
18041,4.1
18043,3.8
18045,4.5
18047,3.2
18049,7.4
18051,2.9
18053,6.7
18055,6.4
18057,2.8
18059,2.7
18061,3.8
18063,2.5
18065,4.1
18067,5.7
18069,3.2
18071,3.1
18073,3.9
18075,3.8
18077,4.1
18079,4.3
18081,3.0
18083,2.5
18085,2.9
18087,3.4
18089,6.3
18091,4.4
18093,3.4
18095,5.7
18097,5.1
18099,2.8
18101,2.1
18103,6.5
18105,5.5
18107,3.8
18109,3.8
18111,8.7
18113,3.1
18115,1.2
18117,2.9
18119,4.6
18121,5.2
18123,5.1
18125,3.1
18127,4.4
18129,2.3
18131,2.8
18133,2.1
18135,5.4
18137,3.2
18139,5.7
18141,5.0
18143,3.4
18145,4.0
18147,3.4
18149,3.4
18151,7.1
18153,5.1
18155,4.1
18157,2.9
18159,3.0
18161,5.1
18163,4.4
18165,6.0
18167,6.1
18169,3.6
18171,4.6
18173,2.9
18175,3.6
18177,5.3
18179,2.1
18181,4.8
18183,4.5
19001,4.2
19003,2.9
19005,3.6
19007,6.9
19009,1.9
19011,2.3
19013,4.8
19015,1.3
19017,3.6
19019,2.7
19021,5.0
19023,3.4
19025,2.8
19027,2.1
19029,1.1
19031,2.9
19033,2.6
19035,3.0
19037,1.8
19039,4.1
19041,4.0
19043,2.6
19045,3.8
19047,1.7
19049,2.9
19051,3.5
19053,3.2
19055,2.1
19057,3.2
19059,2.4
19061,3.8
19063,2.0
19065,3.8
19067,3.5
19069,3.8
19071,1.0
19073,3.2
19075,2.2
19077,3.3
19079,3.9
19081,2.2
19083,3.7
19085,2.8
19087,2.2
19089,1.6
19091,3.1
19093,1.9
19095,2.4
19097,4.7
19099,4.9
19101,5.3
19103,3.7
19105,2.9
19107,3.6
19109,2.1
19111,4.0
19113,3.7
19115,3.8
19117,3.8
19119,2.4
19121,2.7
19123,3.3
19125,1.9
19127,4.0
19129,2.8
19131,0.9
19133,2.1
19135,2.9
19137,2.6
19139,3.7
19141,1.2
19143,4.9
19145,5.7
19147,2.7
19149,1.9
19151,5.5
19153,4.4
19155,3.8
19157,4.9
19159,2.2
19161,3.4
19163,3.7
19165,3.3
19167,2.0
19169,5.0
19171,4.0
19173,3.4
19175,4.6
19177,4.2
19179,3.7
19181,3.0
19183,2.5
19185,2.0
19187,3.8
19189,2.8
19191,2.3
19193,4.3
19195,3.2
19197,1.7
20001,6.9
20003,4.1
20005,4.2
20007,2.3
20009,3.3
20011,3.8
20013,5.4
20015,3.1
20017,0.7
20019,6.3
20021,3.6
20023,1.8
20025,2.1
20027,1.1
20029,4.2
20031,6.0
20033,2.4
20035,5.0
20037,3.5
20039,3.7
20041,2.4
20043,1.5
20045,4.7
20047,4.7
20049,3.5
20051,3.2
20053,2.9
20055,5.4
20057,4.7
20059,2.4
20061,6.0
20063,3.5
20065,4.2
20067,2.5
20069,2.1
20071,0.1
20073,2.8
20075,0.8
20077,3.5
20079,4.2
20081,4.9
20083,2.8
20085,1.8
20087,2.4
20089,0.4
20091,3.2
20093,1.3
20095,3.7
20097,3.4
20099,2.8
20101,0.5
20103,4.3
20105,1.7
20107,3.7
20109,1.2
20111,2.5
20113,2.0
20115,3.0
20117,1.8
20119,1.2
20121,2.8
20123,0.9
20125,3.9
20127,2.0
20129,3.6
20131,0.9
20133,4.6
20135,1.0
20137,0.6
20139,2.5
20141,1.6
20143,3.2
20145,1.2
20147,3.2
20149,1.9
20151,3.7
20153,1.2
20155,3.9
20157,1.0
20159,3.3
20161,4.7
20163,2.1
20165,5.1
20167,1.9
20169,3.6
20171,1.1
20173,5.2
20175,4.2
20177,4.2
20179,0.6
20181,0.4
20183,1.6
20185,2.6
20187,2.2
20189,4.5
20191,6.0
20193,0.1
20195,1.1
20197,4.0
20199,1.3
20201,1.5
20203,0.5
20205,3.5
20207,2.5
20209,5.4
21001,7.7
21003,7.5
21005,2.6
21007,4.1
21009,4.8
21011,4.0
21013,10.5
21015,2.8
21017,4.4
21019,6.6
21021,5.9
21023,5.5
21025,9.3
21027,5.2
21029,4.1
21031,4.2
21033,2.8
21035,4.4
21037,3.7
21039,4.2
21041,6.9
21043,4.1
21045,8.9
21047,7.8
