"x","y","z","facecolor","i","j","k"
"28.769500732421875","-60.0","9.347760200500488","rgb(31,161,135)","158","157","111"
"28.769500732421875","-60.0","-9.347760200500488","rgb(32,164,134)","156","158","111"
"38.28089904785156","-10.0","12.433899879455566","rgb(31,154,138)","71","106","108"
"23.656099319458008","-10.0","-32.56330108642578","rgb(31,151,139)","71","107","106"
"23.656099319458008","-10.0","32.56330108642578","rgb(31,148,140)","71","105","107"
"0.0","-10.0","40.25","rgb(32,147,140)","71","104","105"
"-23.656099319458008","-10.0","32.56330108642578","rgb(32,147,140)","71","69","104"
"-38.28089904785156","-10.0","-12.433899879455566","rgb(33,144,141)","71","159","69"
"-23.656099319458008","-10.0","-32.56330108642578","rgb(31,153,138)","43","69","159"
"0.0","-10.0","-40.25","rgb(35,136,142)","70","159","71"
"0.0","-60.0","40.25","rgb(31,150,139)","160","43","159"
"23.656099319458008","-60.0","32.56330108642578","rgb(33,143,141)","33","160","159"
"-38.28089904785156","-10.0","12.433899879455566","rgb(35,138,141)","70","33","159"
"-23.656099319458008","-60.0","32.56330108642578","rgb(39,127,142)","161","103","71"
"-38.28089904785156","-60.0","12.433899879455566","rgb(34,140,141)","157","161","71"
"-38.28089904785156","-60.0","-12.433899879455566","rgb(42,120,142)","162","98","103"
"-23.656099319458008","-60.0","-32.56330108642578","rgb(39,126,142)","161","162","103"
"0.0","-60.0","-40.25","rgb(42,120,142)","162","97","98"
"38.28089904785156","-10.0","-12.433899879455566","rgb(42,119,142)","162","95","97"
"23.656099319458008","-60.0","-32.56330108642578","rgb(43,116,142)","163","92","95"
"38.28089904785156","-60.0","-12.433899879455566","rgb(41,121,142)","162","163","95"
"38.28089904785156","-60.0","12.433899879455566","rgb(44,114,142)","164","90","92"
"-176.71400451660156","46.403099060058594","113.56700134277344","rgb(42,120,142)","164","92","163"
"-188.13600158691406","38.22529983520508","64.22750091552734","rgb(44,113,142)","164","87","90"
"-196.83900451660156","44.80500030517578","61.83209991455078","rgb(48,106,142)","164","60","87"
"-187.2449951171875","36.489498138427734","54.900001525878906","rgb(51,98,141)","164","165","60"
"-201.552001953125","46.403099060058594","59.18090057373047","rgb(59,82,139)","56","60","165"
"-203.93299865722656","44.8026008605957","31.27680015563965","rgb(54,92,141)","85","65","165"
"-194.6490020751953","43.4369010925293","56.85499954223633","rgb(59,82,139)","63","165","65"
"-163.51800537109375","38.22529983520508","113.05899810791016","rgb(48,105,142)","164","85","165"
"-186.822998046875","36.53300094604492","64.61299896240234","rgb(61,77,138)","28","56","165"
"-137.55999755859375","46.403099060058594","158.7530059814453","rgb(62,74,137)","166","28","165"
"-126.5260009765625","38.22529983520508","153.3350067138672","rgb(62,74,137)","18","166","165"
"-154.67599487304688","25.0","117.9219970703125","rgb(61,77,138)","63","18","165"
"-192.91000366210938","36.80289840698242","-32.5359001159668","rgb(44,113,142)","164","84","85"
"-189.16200256347656","39.103599548339844","-24.59320068359375","rgb(44,114,142)","164","83","84"
"-188.906005859375","25.0","-30.632699966430664","rgb(43,116,142)","164","80","83"
"-183.0449981689453","25.0","65.76219940185547","rgb(42,119,142)","167","78","80"
"-87.26229858398438","46.403099060058594","191.0780029296875","rgb(41,121,142)","164","167","80"
"-79.95980072021484","38.22529983520508","182.00799560546875","rgb(41,122,142)","153","76","78"
"-111.89199829101562","25.0","159.09300231933594","rgb(39,126,142)","167","153","78"
"-29.894699096679688","46.403099060058594","207.9219970703125","rgb(41,122,142)","153","74","76"
"-27.342899322509766","38.22529983520508","196.9080047607422","rgb(40,125,142)","168","163","162"
"-58.68009948730469","25.0","185.43699645996094","rgb(40,124,142)","169","164","163"
"29.894699096679688","46.403099060058594","207.9219970703125","rgb(40,124,142)","169","163","168"
"27.342899322509766","38.22529983520508","196.9080047607422","rgb(38,130,142)","170","162","161"
"4.318769937484111e-14","25.0","194.5","rgb(39,126,142)","170","168","162"
"79.95980072021484","38.22529983520508","182.00799560546875","rgb(34,141,141)","171","161","157"
"58.68009948730469","25.0","185.43699645996094","rgb(37,131,142)","170","161","171"
"87.26229858398438","46.403099060058594","191.0780029296875","rgb(30,157,137)","172","157","158"
"126.5260009765625","38.22529983520508","153.3350067138672","rgb(32,147,140)","171","157","172"
"111.89199829101562","25.0","159.09300231933594","rgb(31,162,135)","173","158","156"
"137.55999755859375","46.403099060058594","158.7530059814453","rgb(31,160,136)","172","158","173"
"163.51800537109375","38.22529983520508","113.05899810791016","rgb(32,164,134)","174","156","152"
"154.67599487304688","25.0","117.9219970703125","rgb(32,163,134)","173","156","174"
"176.71400451660156","46.403099060058594","113.56700134277344","rgb(32,163,134)","175","152","154"
"188.13600158691406","38.22529983520508","64.22750091552734","rgb(32,164,134)","174","152","175"
"186.822998046875","36.53300094604492","64.61299896240234","rgb(31,160,136)","176","154","155"
"183.0449981689453","25.0","65.76219940185547","rgb(31,162,135)","175","154","176"
"-189.16200256347656","10.896400451660156","-24.59320068359375","rgb(32,147,140)","177","155","153"
"-181.552001953125","25.0","-21.456899642944336","rgb(30,157,137)","176","155","177"
"196.83900451660156","44.80500030517578","61.83209991455078","rgb(37,131,142)","178","153","167"
"201.552001953125","46.403099060058594","59.18090057373047","rgb(34,141,141)","177","153","178"
"203.93299865722656","44.8025016784668","31.27680015563965","rgb(39,126,142)","179","167","164"
"194.6490020751953","43.4370002746582","56.85580062866211","rgb(38,130,142)","178","167","179"
"210.06100463867188","46.403099060058594","0.0","rgb(40,125,142)","179","164","169"
"206.31300354003906","44.79999923706055","0.0","rgb(31,148,140)","14","48","151"
"197.43699645996094","43.0","26.355100631713867","rgb(33,142,141)","5","46","48"
"192.21400451660156","43.0","52.246700286865234","rgb(31,149,139)","14","5","48"
"202.9029998779297","46.403099060058594","-54.367698669433594","rgb(30,156,137)","14","151","12"
"205.3459930419922","44.80270004272461","-20.005399703979492","rgb(30,156,137)","41","43","160"
"199.78500366210938","43.42959976196289","-34.56549835205078","rgb(33,142,141)","38","160","33"
"202.86300659179688","43.457000732421875","0.0","rgb(31,149,139)","38","41","160"
"217.48399353027344","47.49480056762695","0.0","rgb(65,68,135)","26","28","166"
"216.34800720214844","46.38999938964844","-57.97019958496094","rgb(65,66,135)","24","166","18"
